id,expec_vida,alcool,hepatite_b,sarampo,hiv_aids,escolaridade
804,79.0,0.21,97.0,405,0.1,12.8
805,72.0,0.23,93.0,245,0.1,12.4
806,74.0,0.22,96.0,26,0.1,12.4
807,70.0,0.22,97.0,16,0.1,12.2
808,69.9,0.21,97.0,608,0.1,12.0
809,69.8,0.24,97.0,668,0.1,11.9
810,69.7,0.21,98.0,1684,0.1,11.7
811,69.5,0.18,98.0,953,0.1,11.5
812,69.4,0.16,98.0,77,0.1,11.4
813,69.0,0.16,97.0,80,0.1,11.2
814,68.6,0.15,98.0,164,0.1,11.3
815,68.7,0.15,97.0,653,0.1,11.2
816,68.6,0.14,99.0,2150,0.1,11.1
817,68.8,0.14,98.0,2633,0.1,11.0
819,73.3,2.52,93.0,0,0.2,13.2
820,73.0,2.42,92.0,0,0.2,13.2
821,73.0,2.48,92.0,0,0.3,13.2
822,72.0,2.37,89.0,0,0.3,13.0
823,72.0,2.36,89.0,0,0.3,12.9
824,71.4,2.55,91.0,0,0.3,12.8
825,71.7,2.68,98.0,0,0.3,13.4
826,71.2,2.83,99.0,0,0.3,12.9
827,75.0,2.77,96.0,0,0.2,12.9
828,71.0,2.77,89.0,0,0.2,12.7
829,70.0,2.9,9.0,0,0.3,12.4
830,69.9,3.1,94.0,0,0.3,12.0
831,73.0,2.97,81.0,0,0.4,11.8
832,68.9,2.88,75.0,2,0.4,11.6
833,69.0,2.79,99.0,0,0.4,11.3
835,57.9,0.01,2.0,13,4.4,9.2
851,64.4,0.01,94.0,127,0.4,5.0
852,64.0,0.01,94.0,45,0.5,5.0
853,63.6,0.01,94.0,194,0.6,5.0
854,62.9,0.62,96.0,48,0.7,5.0
855,62.1,0.61,9.0,51,0.9,5.1
856,61.4,0.63,92.0,82,1.0,5.2
857,67.0,0.49,94.0,0,1.1,5.2
858,62.0,1.23,91.0,55,1.3,5.3
859,59.7,0.97,94.0,128,1.4,5.3
860,59.4,1.07,96.0,19,1.6,5.4
861,59.1,0.64,84.0,24,1.8,5.0
862,58.8,0.56,91.0,376,1.9,4.7
863,58.5,0.83,86.0,460,1.9,4.4
867,77.3,0.01,93.0,0,0.1,16.5
868,76.9,0.01,93.0,2,0.1,16.5
869,76.3,0.01,94.0,4,0.1,16.5
870,76.1,0.01,94.0,7,0.1,16.4
871,75.6,14.97,94.0,0,0.1,16.2
872,74.9,15.04,95.0,0,0.1,16.1
873,74.2,16.99,94.0,0,0.1,16.1
874,73.0,17.87,95.0,1,0.1,16.1
875,73.0,16.58,95.0,27,0.1,16.1
876,72.8,15.52,95.0,2,0.1,15.9
877,72.3,15.07,9.0,0,0.1,15.7
883,64.2,0.01,77.0,12739,0.6,8.4
884,63.7,1.86,72.0,5253,0.9,8.4
885,63.3,1.84,69.0,4347,1.2,8.4
886,62.6,1.32,65.0,3255,1.4,8.2
887,61.8,1.34,62.0,4235,1.7,8.1
888,68.0,1.17,56.0,1176,2.0,8.1
889,59.8,1.13,52.0,3511,2.4,7.6
890,58.5,1.06,47.0,1446,2.8,7.1
899,69.7,0.01,99.0,0,0.1,15.2
900,69.6,0.01,99.0,0,0.1,15.0
901,69.4,0.01,99.0,0,0.1,14.9
902,69.2,0.01,99.0,0,0.1,14.7
903,69.1,2.25,99.0,0,0.1,14.6
904,68.9,2.31,99.0,1,0.1,14.5
905,68.7,1.95,99.0,0,0.1,14.3
906,68.6,2.09,99.0,0,0.1,14.2
907,68.5,2.06,99.0,136,0.1,14.0
908,68.3,2.02,99.0,0,0.1,13.9
909,68.1,1.63,99.0,37,0.1,13.4
910,68.0,1.76,99.0,305,0.1,13.3
911,67.9,1.85,99.0,304,0.1,13.3
912,67.8,1.93,98.0,17,0.1,13.2
913,67.7,2.05,98.0,0,0.1,13.1
931,82.2,11.5,83.0,267,0.1,16.2
932,82.0,11.1,74.0,272,0.1,16.2
933,81.5,11.5,78.0,0,0.1,16.1
934,81.7,11.8,74.0,14949,0.1,16.1
935,81.3,11.7,65.0,5048,0.1,16.0
936,81.1,11.8,51.0,1541,0.1,16.0
937,89.0,11.9,47.0,604,0.1,16.1
938,89.0,12.2,42.0,39,0.1,16.1
939,86.0,12.4,39.0,40,0.1,16.1
940,81.0,12.2,35.0,36,0.1,15.5
941,82.0,13.18,35.0,4448,0.1,15.5
942,79.3,13.49,28.0,0,0.1,15.4
943,79.2,13.78,29.0,5185,0.1,15.5
944,79.0,13.89,28.0,0,0.1,15.6
945,78.8,13.63,26.0,10000,0.1,15.7
947,65.5,0.01,7.0,33,2.8,12.6
948,64.6,8.86,79.0,122,3.7,12.5
949,63.5,8.3,82.0,2,4.9,12.5
950,62.8,8.9,75.0,2,6.0,12.5
951,62.3,8.85,67.0,1,7.0,12.5
952,61.7,8.64,79.0,0,8.0,12.4
953,61.6,8.75,82.0,3,8.9,12.4
954,61.6,9.02,75.0,0,10.0,12.4
955,61.4,8.01,52.0,90,10.7,12.4
956,65.0,7.72,28.0,0,10.9,12.4
963,68.0,0.01,96.0,1,1.7,8.9
964,66.0,0.01,97.0,0,1.6,8.9
965,62.0,0.01,98.0,0,1.4,8.8
966,59.8,3.41,96.0,0,1.8,8.7
967,59.3,3.48,97.0,2,2.1,8.8
968,59.0,2.99,97.0,0,2.7,8.9
969,58.7,2.79,98.0,0,3.0,8.6
970,58.5,2.64,97.0,0,3.1,8.4
971,58.2,2.93,95.0,0,3.0,8.1
972,57.7,2.26,95.0,0,3.0,7.8
973,57.3,2.51,95.0,0,2.9,7.6
974,57.0,2.47,94.0,119,2.7,7.3
975,56.6,2.08,92.0,32,2.5,7.0
976,56.3,2.25,91.0,99,2.3,6.8
977,55.9,2.18,91.0,336,2.0,6.5
979,74.5,6.13,91.0,3188,0.1,13.5
980,74.5,5.91,96.0,7872,0.1,13.5
981,74.2,7.71,92.0,31,0.1,13.4
982,73.9,8.14,89.0,64,0.1,13.3
983,73.8,7.24,95.0,22,0.1,13.3
984,73.2,6.66,54.0,23,0.1,12.8
985,73.9,7.17,89.0,56,0.1,13.1
986,74.4,8.65,94.0,44,0.1,12.5
987,73.9,6.18,84.0,334,0.1,12.6
988,73.9,4.7,79.0,1356,0.1,12.2
989,72.3,3.74,64.0,6847,0.1,12.0
990,72.7,3.36,48.0,216,0.1,11.8
991,71.7,2.72,51.0,199,0.1,11.8
992,73.0,2.76,61.0,35,0.1,11.7
993,71.8,3.28,55.0,50,0.1,11.4
995,89.0,11.03,88.0,443,0.1,17.0
996,86.0,10.94,88.0,1771,0.1,16.9
997,86.0,11.18,88.0,166,0.1,16.9
998,85.0,11.2,88.0,1607,0.1,16.8
999,81.0,11.2,88.0,780,0.1,16.7
1000,80.0,11.22,88.0,574,0.1,16.7
1001,79.9,11.36,87.0,917,0.1,16.6
1002,79.8,11.5,86.0,567,0.1,16.6
1003,79.6,11.76,87.0,2307,0.1,16.5
1004,79.2,11.67,9.0,778,0.1,16.4
1005,79.1,11.83,88.0,121,0.1,16.4
1006,78.5,11.92,9.0,779,0.1,16.3
1007,78.4,12.25,87.0,4657,0.1,16.3
1008,78.3,12.46,86.0,6024,0.1,16.2
1009,78.0,12.91,84.0,0,0.1,16.2
1011,62.1,0.01,98.0,124,0.8,11.7
1012,61.9,0.01,9.0,319,0.9,11.5
1013,61.6,0.01,92.0,1613,0.9,11.2
1014,61.2,1.64,91.0,120,1.3,10.9
1015,69.0,1.69,94.0,641,1.9,10.5
1016,66.0,1.76,94.0,101,2.1,10.4
1017,63.0,1.78,93.0,82,2.2,9.8
1018,59.9,1.25,94.0,6,2.6,9.1
1019,59.4,1.7,84.0,420,2.9,8.7
1020,58.9,1.5,84.0,435,3.1,8.1
1021,58.3,1.46,8.0,60,3.2,7.7
1022,57.9,1.53,8.0,1939,3.4,7.9
1023,57.6,1.6,8.0,12289,3.5,7.6
1027,88.0,7.53,96.0,1,0.1,17.2
1028,86.0,7.46,98.0,3,0.1,17.1
1029,84.0,8.2,98.0,3,0.1,16.8
1030,85.0,8.02,95.0,40,0.1,16.7
1031,83.0,9.0,95.0,149,0.1,16.4
1032,80.0,9.08,95.0,2,0.1,16.2
1033,79.9,9.51,95.0,1,0.1,15.9
1034,79.4,9.67,95.0,2,0.1,16.4
1035,79.7,9.42,94.0,0,0.1,16.3
1036,79.3,9.95,93.0,122,0.1,15.6
1037,79.2,9.56,92.0,1,0.1,15.3
1038,79.1,9.46,92.0,0,0.1,15.2
1039,79.0,8.09,91.0,5,0.1,14.6
1040,78.7,8.62,9.0,12,0.1,14.2
1041,78.2,8.48,89.0,56,0.1,13.9
1043,73.5,8.42,97.0,0,0.1,15.8
1044,73.3,8.25,97.0,0,0.1,15.8
1045,73.1,8.07,97.0,0,0.1,15.8
1046,72.9,7.84,94.0,0,0.1,15.8
1047,72.6,7.91,97.0,0,0.1,15.8
1048,72.4,8.42,99.0,0,0.1,15.6
1049,72.1,8.92,99.0,0,0.1,15.4
1050,71.9,9.06,96.0,0,0.1,15.3
1051,71.7,9.06,91.0,0,0.1,15.1
1052,71.5,8.8,99.0,0,0.1,14.9
1053,73.0,8.43,83.0,0,0.1,14.8
1054,71.1,9.75,97.0,0,0.1,14.6
1055,79.0,10.71,98.0,0,0.1,14.4
1056,77.0,9.61,96.0,0,0.1,14.3
1059,71.7,1.88,73.0,0,0.4,10.7
1060,71.4,1.93,85.0,0,0.4,10.7
1061,71.3,2.02,96.0,0,0.4,10.6
1062,71.1,2.16,88.0,0,0.4,10.5
1063,77.0,2.14,94.0,0,0.4,10.5
1064,76.0,2.14,92.0,0,0.4,10.4
1065,79.0,2.21,95.0,0,0.4,10.4
1066,75.0,2.4,85.0,0,0.4,10.1
1067,69.7,2.38,89.0,0,0.4,9.8
1068,69.2,2.35,87.0,0,0.4,9.6
1075,58.1,0.01,51.0,175,0.5,8.6
1076,58.8,0.01,63.0,53,1.0,8.5
1077,58.4,0.01,62.0,6,1.9,8.5
1078,58.1,0.22,63.0,11,2.0,8.4
1079,57.8,0.2,64.0,45,2.2,8.3
1080,57.3,0.18,57.0,264,2.3,8.1
1081,56.8,0.21,57.0,89,2.3,7.9
1082,56.4,0.19,57.0,3,2.4,7.6
1091,58.4,0.01,87.0,1,3.4,9.2
1092,58.1,0.01,87.0,0,4.5,9.1
1093,57.6,0.01,87.0,0,5.3,9.1
1094,57.1,3.57,86.0,0,5.7,9.0
1095,56.7,3.21,83.0,26,5.9,8.9
1096,56.3,2.55,8.0,0,6.0,8.9
1107,66.0,7.64,98.0,0,0.3,10.3
1108,65.9,7.56,98.0,0,0.3,10.3
1109,65.8,7.57,97.0,0,0.3,10.6
1110,65.6,7.56,93.0,0,0.4,10.3
1111,65.9,7.52,95.0,0,0.4,10.2
1112,66.1,7.49,98.0,0,0.3,10.5
1113,66.3,7.32,93.0,0,0.8,10.7
1114,65.7,7.2,94.0,0,1.9,11.2
1115,65.2,7.04,93.0,0,1.1,11.7
1116,65.0,7.35,93.0,0,1.8,11.4
1117,65.1,7.84,91.0,0,1.9,11.2
1118,65.3,7.93,9.0,0,2.1,11.1
1119,65.3,7.73,91.0,0,2.3,11.0
1120,65.4,6.71,85.0,0,1.7,10.9
1123,63.1,0.01,48.0,0,0.5,9.1
1124,62.7,5.68,68.0,0,0.5,9.1
1139,74.5,2.87,97.0,0,0.3,11.4
1140,74.3,3.11,97.0,0,0.4,11.6
1141,74.1,3.11,97.0,0,0.4,11.6
1142,73.9,3.1,97.0,0,0.4,11.7
1143,73.6,3.1,97.0,0,0.4,11.5
1144,73.4,3.08,97.0,0,0.5,11.3
1145,73.2,3.14,92.0,0,0.6,11.1
1146,73.0,3.16,93.0,0,0.7,10.9
1147,72.8,3.23,94.0,0,0.8,10.8
1148,72.5,3.23,97.0,0,0.9,10.6
1149,72.2,3.02,93.0,0,1.2,10.4
1150,71.9,3.04,91.0,0,1.4,10.3
1151,71.6,3.09,94.0,0,1.5,10.1
1152,71.3,2.74,95.0,0,1.6,9.9
1153,71.0,2.61,93.0,0,1.7,9.8
1187,68.0,3.07,79.0,79563,0.2,11.6
1188,67.6,3.11,7.0,13822,0.2,11.5
1189,67.3,3.1,73.0,18668,0.2,11.3
1190,66.8,3.0,44.0,33634,0.2,10.8
1191,66.4,2.77,38.0,31458,0.2,10.4
1192,66.0,2.5,37.0,56188,0.2,10.5
1193,65.5,1.93,29.0,44258,0.3,10.2
1194,65.2,1.59,6.0,41144,0.3,9.9
1195,64.8,1.37,6.0,64185,0.3,9.7
1196,64.4,1.27,8.0,36711,0.3,9.4
1197,64.0,1.2,6.0,55443,0.3,9.2
1203,68.9,0.09,78.0,12943,0.3,12.9
1204,68.7,0.09,85.0,8419,0.3,12.9
1205,68.5,0.08,83.0,15489,0.3,12.6
1206,68.3,0.08,81.0,21893,0.3,12.3
1207,68.1,0.08,83.0,18869,0.3,12.1
1208,67.9,0.08,82.0,20818,0.3,11.7
1209,67.7,0.07,82.0,15369,0.2,11.7
1210,67.5,0.06,76.0,19456,0.2,11.0
1211,67.3,0.06,66.0,20422,0.1,10.9
1212,67.2,0.06,65.0,15853,0.1,11.1
1213,65.3,0.06,64.0,29171,0.1,11.0
1214,66.9,0.05,64.0,24457,0.1,10.8
1215,66.7,0.05,63.0,14492,0.1,10.6
1216,66.5,0.06,62.0,3825,0.1,10.6
1217,66.3,0.06,65.0,3344,0.1,10.7
1219,75.4,0.01,99.0,99,0.1,14.9
1220,75.3,0.01,99.0,189,0.1,15.0
1221,75.1,0.01,98.0,332,0.1,13.6
1222,74.7,0.03,99.0,73,0.1,13.1
1223,74.1,0.03,99.0,538,0.1,12.9
1224,73.3,0.03,99.0,262,0.1,12.8
1225,72.7,0.02,99.0,127,0.1,12.1
1226,72.4,0.02,97.0,133,0.1,11.8
1227,72.2,0.02,98.0,220,0.1,11.4
1228,72.0,0.01,94.0,7,0.1,11.4
1229,71.8,0.01,95.0,3,0.1,11.8
1230,75.0,0.01,98.0,11644,0.1,11.8
1231,71.2,0.01,99.0,9554,0.1,11.9
1232,78.0,0.01,94.0,9582,0.1,11.6
1233,73.0,0.01,99.0,11874,0.1,11.6
1235,67.9,0.01,62.0,1317,0.1,10.1
1236,69.5,0.01,66.0,669,0.1,10.3
1237,76.0,0.01,61.0,15,0.1,10.5
1238,77.0,0.17,77.0,15,0.1,10.4
1239,76.0,0.19,72.0,492,0.1,10.4
1240,74.0,0.2,75.0,30328,0.1,10.3
1241,69.3,0.17,66.0,5494,0.1,10.3
1242,65.9,0.14,56.0,230,0.1,10.2
1243,64.7,0.03,59.0,474,0.1,10.2
1244,66.8,0.18,65.0,908,0.1,10.1
1245,67.2,0.32,62.0,9081,0.1,9.8
1246,66.5,0.07,63.0,0,0.1,9.4
1247,74.0,0.15,65.0,0,0.1,9.1
1248,72.0,0.17,66.0,4088,0.1,8.7
1249,70.0,0.2,67.0,726,0.1,8.6
1251,81.2,10.75,95.0,33,0.1,18.6
1252,81.0,10.49,95.0,51,0.1,18.6
1253,85.0,11.49,95.0,107,0.1,18.5
1254,84.0,11.72,95.0,285,0.1,18.5
1255,86.0,11.88,46.0,443,0.1,18.2
1267,82.2,2.62,97.0,6,0.1,16.0
1268,82.1,2.69,97.0,50,0.1,15.9
1269,81.8,2.78,97.0,211,0.1,15.9
1270,81.8,2.67,98.0,70,0.1,15.8
1271,81.7,2.63,97.0,23,0.1,15.7
1272,81.5,2.55,98.0,5,0.1,15.6
1273,81.0,2.47,99.0,931,0.1,15.8
1274,84.0,2.33,99.0,539,0.1,15.7
1275,84.0,2.23,96.0,9,0.1,15.7
1276,80.0,2.41,96.0,2,0.1,15.8
1277,81.0,2.23,99.0,116,0.1,15.9
1278,79.7,2.32,98.0,124,0.1,16.0
1279,79.3,2.47,98.0,2,0.1,15.3
1280,79.3,2.53,96.0,19,0.1,15.1
1281,78.9,2.53,98.0,36,0.1,15.2
1283,82.5,7.56,95.0,0,0.1,16.3
1284,82.3,7.35,96.0,0,0.1,16.5
1285,82.0,7.49,96.0,376,0.1,16.6
1286,82.0,6.98,96.0,5189,0.1,16.4
1287,81.8,6.95,96.0,372,0.1,16.4
1288,81.6,7.25,96.0,351,0.1,16.3
1289,81.5,7.96,96.0,1617,0.1,16.3
1290,81.3,8.37,97.0,321,0.1,16.1
1291,81.2,8.44,96.0,439,0.1,16.0
1292,88.0,8.65,96.0,135,0.1,15.8
1293,89.0,8.98,96.0,599,0.1,15.6
1294,79.9,9.3,95.0,10982,0.1,15.4
1295,80.0,9.25,95.0,9385,0.1,15.2
1296,79.8,9.69,95.0,0,0.1,14.9
1297,79.4,9.78,94.0,1457,0.1,14.8
1299,75.8,3.83,92.0,0,0.5,12.8
1300,75.6,3.79,93.0,0,0.6,12.8
1301,75.3,3.65,96.0,0,0.5,12.8
1302,75.2,3.58,92.0,1,0.6,12.8
1303,75.0,3.55,94.0,0,0.5,12.7
1304,74.7,3.33,9.0,0,0.6,12.7
1305,74.5,3.51,92.0,2,0.4,12.6
1306,74.2,3.64,92.0,0,0.9,12.5
1307,74.0,3.63,97.0,0,1.5,12.5
1308,73.5,3.59,99.0,0,1.9,12.4
1309,73.3,3.67,98.0,0,2.3,11.1
1310,73.1,3.48,36.0,0,2.3,11.9
1331,74.0,0.41,98.0,20,0.1,13.1
1332,73.9,0.4,98.0,120,0.1,13.1
1333,73.7,0.41,98.0,3,0.1,12.9
1334,73.6,0.43,98.0,0,0.1,13.1
1335,73.4,0.51,98.0,0,0.1,13.2
1336,73.3,0.59,98.0,0,0.1,13.6
1337,73.1,0.61,97.0,2,0.1,13.6
1338,73.0,0.6,98.0,41,0.1,13.6
1339,72.8,0.59,98.0,1,0.1,13.7
1340,72.4,0.55,95.0,28,0.1,13.8
1341,72.5,0.54,95.0,21,0.1,13.5
1342,72.3,0.54,97.0,76,0.1,13.2
1343,72.1,0.54,95.0,19,0.1,13.0
1344,71.9,0.55,97.0,61,0.1,12.7
1345,71.7,0.49,93.0,32,0.1,12.6
1347,69.9,6.29,95.0,321,0.1,15.0
1348,69.5,6.48,99.0,73,0.1,15.0
1349,69.1,6.82,95.0,55,0.1,14.7
1350,68.5,6.63,99.0,127,0.1,14.4
1351,67.8,6.83,99.0,4,0.1,14.5
1352,67.8,6.64,99.0,0,0.1,14.6
1353,66.6,7.6,99.0,20,0.1,14.6
1354,65.3,7.44,94.0,13,0.1,14.7
1355,65.0,7.08,99.0,109,0.1,14.3
1356,64.6,6.94,94.0,16118,0.1,13.9
1357,64.7,6.55,99.0,2204,0.1,13.5
1358,64.4,6.58,99.0,24,0.1,13.1
1359,64.7,5.99,95.0,18,0.1,12.7
1360,64.4,5.75,95.0,94,0.1,12.3
1361,63.9,6.0,99.0,245,0.1,12.1
1363,62.9,0.01,92.0,354,2.9,11.1
1364,62.6,1.84,93.0,190,3.0,11.1
1365,62.1,1.81,94.0,0,3.0,11.1
1366,61.2,1.8,96.0,2395,3.4,11.1
1367,63.0,1.73,9.0,95,4.3,11.1
1368,59.1,1.86,88.0,1218,5.0,10.7
1369,57.9,1.71,88.0,1282,6.4,10.4
1370,56.8,1.97,81.0,1516,9.1,10.1
1371,55.3,1.76,8.0,1847,10.3,9.7
1372,54.1,1.82,76.0,153,11.6,9.6
1373,53.0,1.43,73.0,20,13.2,8.9
1374,52.4,1.49,73.0,65,14.5,8.2
1375,52.1,1.66,84.0,766,15.7,8.5
1379,66.1,0.01,75.0,0,0.1,11.9
1380,65.8,0.01,95.0,0,0.1,11.9
1381,65.7,0.01,94.0,0,0.1,11.9
1382,65.5,0.53,95.0,0,0.1,11.9
1383,65.3,0.48,91.0,0,0.1,11.9
1384,65.2,0.54,86.0,0,0.1,11.9
1385,65.1,0.46,83.0,0,0.1,11.6
1386,65.0,0.68,96.0,0,0.1,11.8
1387,65.0,0.76,88.0,0,0.1,12.1
1388,64.9,0.6,5.0,0,0.1,12.2
1389,64.8,0.48,67.0,0,0.1,12.4
1390,64.7,0.5,73.0,0,0.1,11.6
1391,64.6,0.49,79.0,0,0.1,11.7
1392,64.3,0.6,85.0,0,0.1,10.4
1393,64.1,0.46,9.0,0,0.1,10.0
1395,74.6,0.01,96.0,55,0.1,13.0
1396,74.5,0.01,99.0,62,0.1,13.1
1397,74.3,0.01,98.0,27,0.1,13.2
1398,74.2,0.02,99.0,32,0.1,13.4
1399,74.0,0.01,99.0,13,0.1,13.5
1400,73.9,0.1,99.0,0,0.1,13.6
1401,73.8,0.03,99.0,0,0.1,13.8
1402,73.7,0.03,99.0,0,0.1,13.9
1403,73.6,0.01,99.0,0,0.1,14.1
1404,73.6,0.01,99.0,10,0.1,14.2
1405,73.5,0.02,94.0,23,0.1,14.4
1406,73.4,0.03,99.0,0,0.1,14.1
1407,73.3,0.01,99.0,0,0.1,13.9
1408,73.2,0.01,99.0,0,0.1,14.0
1409,73.2,0.01,95.0,6,0.1,14.1
1411,78.0,0.01,96.0,318,0.1,12.8
1412,77.0,0.01,97.0,1,0.1,12.5
1413,69.9,0.01,96.0,0,0.1,12.3
1414,69.4,3.28,96.0,222,0.2,12.1
1415,68.8,2.73,96.0,0,0.1,12.2
1416,68.5,2.39,96.0,1,0.1,12.4
1417,67.6,2.53,97.0,16,0.2,12.6
1418,67.2,2.77,94.0,40,0.1,12.6
1419,66.7,2.48,9.0,27,0.1,12.5
1420,66.9,2.81,97.0,53,0.1,12.4
1421,67.1,3.41,99.0,8,0.1,12.5
1422,66.6,3.52,99.0,6,0.1,12.2
1423,66.7,3.31,99.0,2,0.1,12.1
1424,67.2,2.62,57.0,17,0.1,11.8
1425,66.6,2.13,44.0,16,0.1,11.4
1427,65.3,0.01,88.0,339,0.2,10.6
1428,64.9,0.01,87.0,71,0.3,10.4
1429,64.4,0.01,79.0,32,0.3,10.2
1430,64.0,5.39,78.0,113,0.3,9.9
1431,63.6,5.95,74.0,153,0.3,9.6
1432,63.1,5.18,67.0,78,0.2,9.4
1433,62.6,5.1,61.0,174,0.2,9.2
1434,62.1,5.0,5.0,1678,0.2,9.0
1435,61.5,3.69,57.0,58,0.2,9.0
1436,61.0,3.68,49.0,295,0.2,8.7
1437,64.0,3.53,45.0,1491,0.2,8.6
1438,59.8,3.41,5.0,1810,0.1,8.3
1443,74.4,0.01,92.0,36,0.1,16.0
1444,74.1,10.37,94.0,0,0.1,15.4
1445,73.8,10.21,9.0,3,0.1,15.5
1446,73.6,10.14,89.0,1,0.1,15.8
1447,72.8,9.8,91.0,0,0.1,16.0
1448,72.6,9.85,92.0,0,0.1,16.4
1449,71.9,11.84,93.0,3,0.1,16.3
1450,78.0,12.12,91.0,0,0.1,16.2
1451,75.0,10.4,94.0,7,0.1,16.2
1452,76.0,9.92,99.0,2,0.1,15.9
1453,71.0,8.81,98.0,0,0.1,15.5
1454,78.0,8.24,98.0,0,0.1,15.2
1455,73.0,7.44,98.0,0,0.1,14.8
1456,69.9,6.68,96.0,1,0.1,14.2
1457,71.0,7.13,95.0,0,0.1,13.7
1459,74.8,1.32,81.0,112,0.1,13.3
1460,74.9,1.29,81.0,1761,0.1,13.3
1461,75.0,1.53,81.0,9,0.1,13.3
1462,75.0,1.57,81.0,9,0.1,13.2
1463,74.9,1.58,81.0,12,0.1,13.3
1464,74.7,1.62,81.0,22,0.1,13.2
1465,74.5,1.67,81.0,24,0.1,13.1
1466,74.4,1.72,8.0,373,0.1,12.9
1467,74.1,1.82,78.0,956,0.1,13.2
1468,73.9,1.94,77.0,618,0.1,13.7
1469,73.7,2.1,75.0,213,0.1,14.2
1470,73.5,2.19,74.0,526,0.1,14.8
1471,73.2,1.98,77.0,36,0.1,15.2
1472,73.0,2.19,8.0,8,0.1,15.0
1473,72.7,2.26,83.0,5,0.1,14.9
1475,52.1,0.01,93.0,0,9.4,10.8
1476,52.1,0.01,93.0,516,9.6,11.1
1477,52.2,0.01,95.0,179,9.0,11.0
1478,52.3,2.39,96.0,172,10.5,11.0
1479,51.1,2.71,93.0,2488,13.4,10.9
1480,49.4,2.75,91.0,0,18.2,10.8
1481,47.8,2.75,88.0,0,27.3,10.7
1482,46.2,2.69,9.0,2,30.0,10.6
1483,45.3,2.61,91.0,1,34.1,10.7
1484,44.5,2.67,87.0,0,34.8,10.7
1485,44.8,1.8,6.0,31,34.6,10.7
1486,45.5,1.99,17.0,1,33.8,10.5
1491,58.1,0.01,5.0,34,0.9,9.9
1492,61.1,0.01,76.0,0,1.1,9.8
1493,67.0,0.01,8.0,43,1.2,9.6
1494,62.0,3.72,77.0,279,1.5,9.5
1495,59.7,3.64,47.0,2200,1.8,9.6
1496,59.2,3.75,64.0,6,2.1,9.7
1497,58.6,3.88,64.0,1,2.4,9.8
1507,72.4,0.01,94.0,372,0.1,13.4
1508,72.9,0.01,96.0,0,0.1,13.4
1509,72.9,0.01,98.0,320,0.1,13.7
1510,71.3,0.01,98.0,0,0.1,14.0
1511,72.8,0.01,98.0,0,0.1,14.3
1512,72.7,0.01,98.0,329,0.1,14.6
1513,72.6,0.01,98.0,8,0.1,14.8
1514,72.5,0.01,98.0,59,0.1,15.1
1515,72.2,0.01,98.0,1,0.1,15.4
1516,71.9,0.01,97.0,292,0.1,15.7
1517,71.5,0.01,99.0,2771,0.1,15.9
1518,71.3,0.01,96.0,0,0.1,16.0
1519,71.1,0.01,91.0,3890,0.1,15.8
1520,71.0,0.01,93.0,633,0.1,15.7
1521,78.0,0.01,92.0,0,0.1,15.5
1523,73.4,15.19,94.0,11,0.1,16.5
1524,73.0,15.04,93.0,35,0.1,16.4
1525,73.0,15.14,93.0,0,0.1,16.5
1526,72.8,12.66,95.0,7,0.1,16.7
1527,72.4,12.9,94.0,2,0.1,16.8
1528,72.2,12.4,95.0,0,0.1,16.6
1529,71.1,13.3,96.0,1,0.1,16.5
1530,72.0,13.4,96.0,0,0.1,16.4
1531,76.0,12.7,95.0,1,0.1,16.4
1532,78.0,12.3,95.0,1,0.1,16.2
1533,71.6,12.1,94.0,1,0.1,16.3
1534,71.6,11.29,95.0,1,0.1,15.8
1535,71.4,11.0,94.0,103,0.1,15.3
1536,71.2,10.2,95.0,7,0.1,14.7
1537,71.6,9.87,98.0,19,0.1,14.0
1539,81.7,11.12,94.0,0,0.1,13.9
1540,81.4,11.02,94.0,0,0.1,13.9
1541,81.1,11.34,94.0,2,0.1,13.9
1542,88.0,11.5,95.0,6,0.1,13.9
1543,86.0,11.36,94.0,0,0.1,13.7
1544,83.0,11.42,95.0,0,0.1,13.5
1545,80.0,11.53,94.0,1,0.1,13.5
1546,79.7,11.75,87.0,0,0.1,13.5
1547,79.4,11.98,95.0,8,0.1,13.5
1548,78.8,11.84,95.0,0,0.1,13.5
1549,78.7,12.42,94.0,0,0.1,13.5
1550,78.6,12.61,95.0,1,0.1,13.6
1551,78.3,12.91,95.0,0,0.1,13.5
1552,78.0,12.89,86.0,0,0.1,13.4
1553,77.8,13.14,77.0,0,0.1,13.5
1555,65.1,0.01,73.0,3,0.3,10.3
1556,64.7,0.87,74.0,6,0.4,10.3
1557,64.3,0.87,7.0,2,0.4,10.2
1558,63.8,0.97,73.0,0,0.4,10.2
1559,63.3,1.03,7.0,1,0.5,10.2
1560,62.8,0.91,77.0,0,0.5,9.7
1561,62.3,0.68,77.0,3,0.5,9.4
1562,61.9,0.71,84.0,0,0.6,9.1
1563,61.4,0.68,82.0,2,0.6,9.0
1564,69.0,0.72,81.0,0,0.6,8.9
1565,64.0,0.81,71.0,35558,0.6,8.7
1566,59.9,0.93,61.0,62233,0.7,8.5
1567,59.3,0.9,51.0,10795,0.7,8.3
1571,57.6,0.01,91.0,3,5.1,10.7
1572,56.7,0.01,89.0,1,6.3,10.7
1573,55.3,0.01,96.0,11,8.3,10.7
1574,54.1,1.23,97.0,26,11.2,10.6
1575,52.9,1.08,93.0,118712,13.7,10.2
1576,51.5,1.16,93.0,21,14.9,9.9
